,code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
119,CZE,2004,12.523489932885907,37.33125,746.32891846,75.7219512195122,6313.5,6.351
120,CZE,2005,12.306040268456375,37.32208333333333,852.65246582,75.9243902439025,6241.0,6.341
121,CZE,2006,12.140939597315436,39.46083333333333,942.11804199,76.5243902439024,5819.5,6.164
122,CZE,2007,12.000671140939597,38.98416666666667,1110.17663574,76.7243902439025,5859.5,5.986
123,CZE,2008,11.891946308724833,39.95458333333333,1449.33679199,76.9756097560976,21043.0,6.33
124,CZE,2009,11.526174496644296,41.120416666666664,1442.24279785,77.0780487804878,20905.0,7.249
125,CZE,2010,11.264238410596027,42.252916666666664,1516.04858398,77.4243902439025,5731.0,7.553
126,CZE,2011,10.538410596026491,35.291666666666664,1654.51013184,77.8731707317073,5877.5,7.534
127,CZE,2012,10.339072847682118,35.04472222222222,1515.81604004,78.0756097560976,5896.5,7.594
128,CZE,2013,10.152980132450331,34.922777777777775,1514.01403809,78.1756097560976,6128.5,7.495
129,CZE,2014,10.06092715231788,33.276944444444446,1516.05627441,78.8243902439024,5707.5,7.595
130,CZE,2015,10.04635761589404,36.06861111111111,1314.83728027,78.5780487804878,255.1,7.335
131,CZE,2016,9.901986754966886,36.0625,1384.66357422,79.0268292682927,241.4,7.393
132,CZE,2017,10.077483443708608,37.21083333333333,1525.34790039,78.9780487804878,242.4,7.339
133,CZE,2018,10.226490066225166,38.05111111111111,1753.19897461,79.0292682926829,5956.5,7.46
134,CZE,2019,10.093377483443708,37.79388888888889,1803.05249023,79.2292682926829,5720.0,7.613
135,DEU,2000,10.288513513513513,432.195,2344.41088867,77.9268292682927,150471.5,9.888
136,DEU,2001,9.962837837837839,456.16125000000005,2346.66918945,78.3292682926829,145855.0,9.921
137,DEU,2002,9.733783783783784,468.445,2567.50292969,78.2292682926829,51425.0,10.184
138,DEU,2003,10.308783783783783,484.1855555555556,3152.79418945,78.3804878048781,50736.0,10.402
139,DEU,2004,9.846979865771813,501.6172222222222,3459.82495117,78.6804878048781,138339.5,10.146
140,DEU,2005,9.735570469798658,517.645,3558.21337891,78.9317073170732,136079.5,10.312
141,DEU,2006,9.535570469798659,527.7177777777778,3698.04370117,79.1317073170732,132181.0,10.18
142,DEU,2007,9.536912751677852,542.9655555555555,4182.91601563,79.5341463414634,130175.0,10.051
143,DEU,2008,9.160402684563758,564.9638888888888,4669.76025391,79.7365853658537,129611.0,10.251
144,DEU,2009,9.074496644295303,580.3322222222222,4674.91943359,79.8365853658537,129364.0,11.238
145,DEU,2010,8.88993288590604,607.7872222222222,4611.421875,79.9878048780488,127922.5,11.096
146,DEU,2011,8.673154362416108,624.6855555555555,5037.49169922,80.4365853658537,126602.0,10.778
