,code,country,year,set_healtchare_capita_outcomes
162,AUS,Australia,2018,570.0
163,AUS,Australia,2018,784.691
164,AUS,Australia,2018,100.0
165,AUS,Australia,2018,0.416
166,AUS,Australia,2018,0.003
167,AUS,Australia,2018,0.001
168,AUS,Australia,2018,100.0
169,AUS,Australia,2018,0.04
170,AUS,Australia,2018,10447.094
171,AUS,Australia,2018,0.007
172,AUS,Australia,2018,0.006
173,AUS,Australia,2019,100.0
174,AUS,Australia,2019,26.0
175,AUS,Australia,2019,0.043
176,AUS,Australia,2019,8366.366
177,AUS,Australia,2019,100.0
178,AUS,Australia,2019,59.0
179,AUS,Australia,2019,100.0
180,AUS,Australia,2019,855.0
181,AUS,Australia,2019,100.0
182,AUS,Australia,2019,39.0
183,AUS,Australia,2019,0.028
184,AUS,Australia,2019,100.0
185,AUS,Australia,2019,182.0
186,AUS,Australia,2019,100.0
187,AUS,Australia,2019,0.562
188,AUS,Australia,2019,100.0
189,AUS,Australia,2019,557.0
190,AUS,Australia,2019,1060.673
191,AUS,Australia,2019,100.0
192,AUS,Australia,2019,0.422
193,AUS,Australia,2019,0.003
194,AUS,Australia,2019,0.002
195,AUS,Australia,2019,100.0
196,AUS,Australia,2019,0.053
197,AUS,Australia,2019,11145.039
198,AUS,Australia,2019,0.009
199,AUS,Australia,2019,0.001
200,AUT,Austria,2000,1322.237
201,AUT,Austria,2000,0.619
202,AUT,Austria,2000,100.0
203,AUT,Austria,2001,1233.65
204,AUT,Austria,2001,0.559
205,AUT,Austria,2001,100.0
206,AUT,Austria,2002,1347.182
207,AUT,Austria,2002,0.594
208,AUT,Austria,2002,100.0
209,AUT,Austria,2003,1443.882
210,AUT,Austria,2003,0.623
211,AUT,Austria,2003,100.0
212,AUT,Austria,2004,1517.168
213,AUT,Austria,2004,0.626
214,AUT,Austria,2004,100.0
215,AUT,Austria,2005,1603.653
216,AUT,Austria,2005,0.631
217,AUT,Austria,2005,100.0
218,AUT,Austria,2006,1567.007
219,AUT,Austria,2006,0.585
220,AUT,Austria,2006,100.0
221,AUT,Austria,2007,1763.454
222,AUT,Austria,2007,0.621
223,AUT,Austria,2007,100.0
224,AUT,Austria,2008,1875.362
225,AUT,Austria,2008,0.638
226,AUT,Austria,2008,100.0
227,AUT,Austria,2009,1905.669
228,AUT,Austria,2009,0.662
229,AUT,Austria,2009,100.0
230,AUT,Austria,2010,2052.634
231,AUT,Austria,2010,0.694
232,AUT,Austria,2010,100.0
233,AUT,Austria,2011,2159.105
234,AUT,Austria,2011,0.696
235,AUT,Austria,2011,100.0
236,AUT,Austria,2012,2428.564
237,AUT,Austria,2012,0.762
238,AUT,Austria,2012,100.0
239,AUT,Austria,2013,2373.852
240,AUT,Austria,2013,0.733
241,AUT,Austria,2013,100.0
242,AUT,Austria,2014,2508.619
