country,year,length_stay
Chile,2004,8.2
Chile,2003,9.1
Chile,2002,9.7
Chile,2001,13.5
Chile,2018,6.7
Chile,2017,6.6
Chile,2016,6.5
Chile,2015,6.7
Chile,2014,6.9
Chile,2013,7.8
Chile,2012,7.2
Chile,2011,7.3
Chile,2010,7.0
Chile,2009,7.2
Chile,2008,7.2
Chile,2007,7.2
Chile,2006,6.8
Chile,2005,6.3
Chile,2004,6.6
Chile,2003,7.2
Chile,2002,7.1
Chile,2001,8.2
Chile,2018,6.1
Chile,2017,5.8
Chile,2016,5.8
Chile,2015,5.7
Chile,2014,7.2
Chile,2013,5.6
Chile,2012,5.6
Chile,2011,5.6
Chile,2010,5.3
Chile,2009,5.7
Chile,2008,5.4
Chile,2007,5.9
Chile,2006,5.5
Chile,2005,5.1
Chile,2004,4.9
Chile,2003,4.5
Chile,2002,5.1
Chile,2001,7.0
Chile,2018,5.3
Chile,2017,5.7
Chile,2016,5.7
Chile,2015,5.4
Chile,2014,5.3
Chile,2013,5.6
Chile,2012,5.6
Chile,2011,5.4
Chile,2010,5.8
Chile,2009,5.9
Chile,2008,5.6
Chile,2007,6.2
Chile,2006,5.5
Chile,2008,3.5
Chile,2007,3.7
Chile,2006,3.7
Chile,2005,3.6
Chile,2004,3.8
Chile,2003,4.2
Chile,2002,4.1
Chile,2001,4.2
Chile,2018,4.8
Chile,2017,5.1
Chile,2016,5.7
Chile,2015,6.6
Chile,2014,6.1
Chile,2013,6.5
Chile,2012,6.8
Chile,2011,6.0
Chile,2010,4.8
Chile,2009,5.0
Chile,2008,5.8
Chile,2007,6.3
Chile,2006,4.5
Chile,2005,4.6
Chile,2004,5.8
Chile,2003,4.8
Chile,2002,4.5
Chile,2001,4.8
Chile,2018,2.7
Chile,2017,2.6
Chile,2016,3.1
Chile,2015,3.2
Chile,2014,3.2
Chile,2013,3.1
Chile,2012,4.1
Chile,2011,3.3
Chile,2010,4.3
Chile,2009,3.1
Chile,2008,3.0
Chile,2007,3.1
Chile,2006,3.1
Chile,2005,3.4
Chile,2004,3.3
Chile,2003,3.4
Chile,2002,4.1
Chile,2001,7.1
Chile,2018,8.8
Chile,2017,9.0
Chile,2016,8.8
Chile,2015,8.6
Chile,2014,8.6
Chile,2013,9.6
Chile,2012,8.5
Chile,2011,7.9
Chile,2010,8.0
Chile,2009,8.2
Chile,2008,8.4
Chile,2007,8.3
Chile,2006,7.9
Chile,2005,7.5
Chile,2004,7.7
Chile,2003,8.0
Chile,2002,8.9
Chile,2001,10.3
Chile,2018,6.3
Chile,2017,6.3
Chile,2016,6.4
Chile,2015,6.6
Chile,2014,6.5
Chile,2013,6.6
Chile,2012,6.7
Chile,2011,6.3
Chile,2010,6.5
Chile,2009,6.6
Chile,2008,6.9
Chile,2007,6.3
Chile,2006,6.0
Chile,2005,5.8
Chile,2004,6.4
Chile,2003,6.7
Chile,2002,6.4
Chile,2001,6.6
Chile,2018,6.3
Chile,2017,6.3
Chile,2016,6.3
Chile,2015,6.4
Chile,2014,6.3
Chile,2013,6.7
Chile,2012,6.7
Chile,2011,6.3
Chile,2010,6.4
Chile,2009,6.5
Chile,2008,7.0
Chile,2007,6.3
Chile,2006,6.1
Chile,2005,5.8
Chile,2004,6.3
Chile,2003,7.4
Chile,2002,6.4
Chile,2001,6.8
